trial_id,condition,scan_success,scan_ms,connect_success,connect_ms,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_stage,failure_reason
J_0001,4m_los,True,845.361,True,5547.39,True,620.902,True,89.748,True,7107.411,,
J_0002,4m_los,True,1722.192,True,2634.368,True,348.668,True,90.038,True,4799.294,,
J_0003,4m_los,True,784.292,True,4653.02,True,302.706,True,90.22,True,5834.91,,
J_0004,4m_los,True,872.91,True,5373.876,True,302.705,True,90.293,True,6643.854,,
J_0005,4m_los,True,915.083,True,4700.281,True,303.499,True,91.338,True,6014.785,,
J_0006,4m_los,True,1005.377,True,3349.885,True,305.573,True,89.205,True,4754.089,,
J_0007,4m_los,True,69.346,True,2621.544,True,304.873,True,90.13,True,3089.681,,
J_0008,4m_los,True,1166.454,True,3369.266,True,302.698,True,89.973,True,4934.567,,
J_0009,4m_los,True,226.432,True,4624.775,True,258.264,True,90.452,True,5204.506,,
J_0010,4m_los,True,2051.6,True,2620.013,True,303.483,True,90.337,True,5069.87,,
J_0011,4m_los,True,367.503,True,3358.943,True,258.666,True,90.256,True,4079.494,,
J_0012,4m_los,True,1156.946,True,3918.556,True,259.127,True,90.156,True,5429.163,,
J_0013,4m_los,True,223.929,True,3907.613,True,258.178,True,90.395,True,4484.316,,
J_0014,4m_los,True,55.583,True,2861.72,True,302.295,True,135.26,True,3359.077,,
J_0015,4m_los,True,580.447,True,3372.02,True,257.483,True,91.001,True,4305.544,,
J_0016,4m_los,True,1426.227,True,2615.721,True,258.773,True,90.122,True,4394.823,,
J_0017,4m_los,True,736.63,True,2675.068,True,256.985,True,90.536,True,3764.192,,
J_0018,4m_los,True,1522.922,True,3913.913,True,257.725,True,90.082,True,5788.396,,
J_0019,4m_los,True,879.218,True,5455.288,True,259.45,True,90.132,True,6688.312,,
J_0020,4m_los,True,966.233,True,2668.754,True,259.561,True,90.859,True,3990.306,,
J_0021,4m_los,True,3037.363,True,2623.999,True,302.991,True,90.068,True,6059.482,,
J_0022,4m_los,True,1122.79,True,2693.867,True,257.599,True,90.201,True,4169.236,,
J_0023,4m_los,True,1168.299,True,4628.52,True,303.195,True,90.102,True,6194.124,,
J_0024,4m_los,True,1260.275,True,2691.405,True,304.039,True,89.721,True,4349.201,,
J_0025,4m_los,True,25.769,True,5951.394,True,302.326,True,90.362,True,6374.374,,
J_0026,4m_los,True,41.741,True,1974.975,True,303.152,True,90.295,True,2414.635,,
J_0027,4m_los,True,56.598,True,2726.821,True,256.212,True,89.301,True,3134.218,,
J_0028,4m_los,True,1226.988,True,2635.113,True,302.78,True,90.207,True,4259.911,,
J_0029,4m_los,True,547.666,True,2638.549,True,303.549,True,90.025,True,3583.75,,
J_0030,4m_los,True,60.978,True,2135.414,True,257.342,True,89.947,True,2548.708,,
J_0031,4m_los,True,48.848,True,3002.213,True,303.22,True,90.168,True,3448.344,,
J_0032,4m_los,True,2742.669,True,3504.152,True,256.821,True,90.064,True,6598.409,,
J_0033,4m_los,True,790.278,True,3384.952,True,257.849,True,90.087,True,4527.091,,
J_0034,4m_los,True,878.346,True,4648.738,True,301.777,True,89.958,True,5924.044,,
J_0035,4m_los,True,912.255,True,2632.62,True,305.113,True,90.055,True,3944.153,,
J_0036,4m_los,True,1026.241,True,2655.241,True,257.94,True,90.004,True,4033.59,,
J_0037,4m_los,True,1067.831,True,2569.153,True,303.933,True,90.065,True,4035.062,,
J_0038,4m_los,True,1128.498,True,4668.535,True,302.158,True,90.029,True,6193.758,,
J_0039,4m_los,True,1221.996,True,3357.816,True,303.385,True,91.435,True,4978.703,,
J_0040,4m_los,True,272.435,True,4668.594,True,303.403,True,90.914,True,5339.539,,
J_0041,4m_los,True,54.833,True,7948.172,True,302.473,True,89.849,True,8399.281,,
J_0042,4m_los,True,56.068,True,3984.623,True,258.691,True,90.826,True,4394.15,,
J_0043,4m_los,True,51.987,True,4123.482,True,259.542,True,89.031,True,4527.976,,
J_0044,4m_los,True,53.362,True,4213.487,True,302.681,True,90.023,True,4663.187,,
J_0045,4m_los,True,362.865,True,2687.531,True,304.255,True,90.017,True,3448.321,,
J_0046,4m_los,True,677.178,True,4624.362,True,302.469,True,90.21,True,5698.502,,
J_0047,4m_los,True,481.556,True,2613.611,True,259.264,True,90.2,True,3448.903,,
J_0048,4m_los,True,825.536,True,2630.647,True,302.894,True,90.211,True,3853.979,,
J_0049,4m_los,True,889.487,True,3420.839,True,259.032,True,90.111,True,4663.603,,
