trial_id,condition,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_reason
JS_0001,4m_los,True,79.884,True,89.039,True,168.942,
JS_0002,4m_los,True,79.257,True,90.266,True,169.54,
JS_0003,4m_los,True,78.938,True,90.315,True,169.269,
JS_0004,4m_los,True,78.803,True,90.133,True,168.953,
JS_0005,4m_los,True,79.323,True,92.941,True,172.28,
JS_0006,4m_los,True,121.234,True,90.087,True,211.335,
JS_0007,4m_los,True,79.402,True,89.89,True,169.308,
JS_0008,4m_los,True,79.38,True,89.802,True,169.197,
JS_0009,4m_los,True,79.235,True,90.405,True,169.657,
JS_0010,4m_los,True,79.071,True,89.899,True,168.986,
JS_0011,4m_los,True,79.151,True,90.046,True,169.211,
JS_0012,4m_los,True,79.106,True,90.176,True,169.297,
JS_0013,4m_los,True,79.006,True,90.025,True,169.047,
JS_0014,4m_los,True,79.325,True,91.076,True,170.417,
JS_0015,4m_los,True,78.607,True,89.943,True,168.562,
JS_0016,4m_los,True,79.631,True,89.785,True,169.428,
JS_0017,4m_los,True,79.475,True,90.064,True,169.552,
JS_0018,4m_los,True,79.269,True,89.998,True,169.28,
JS_0019,4m_los,True,79.528,True,89.863,True,169.403,
JS_0020,4m_los,True,79.502,True,89.97,True,169.487,
JS_0021,4m_los,True,79.427,True,89.524,True,168.964,
JS_0022,4m_los,True,79.6,True,91.149,True,170.764,
JS_0023,4m_los,True,78.236,True,90.153,True,168.401,
JS_0024,4m_los,True,79.222,True,90.067,True,169.305,
JS_0025,4m_los,True,79.343,True,90.065,True,169.422,
JS_0026,4m_los,True,124.598,True,90.239,True,214.851,
JS_0027,4m_los,True,78.766,True,90.55,True,169.33,
JS_0028,4m_los,True,79.246,True,89.916,True,169.178,
JS_0029,4m_los,True,79.459,True,89.787,True,169.26,
JS_0030,4m_los,True,79.236,True,90.1,True,169.361,
JS_0031,4m_los,True,79.191,True,89.993,True,169.199,
JS_0032,4m_los,True,79.582,True,89.806,True,169.402,
JS_0033,4m_los,True,79.487,True,90.141,True,169.641,
JS_0034,4m_los,True,80.913,True,88.446,True,169.372,
JS_0035,4m_los,True,79.146,True,90.118,True,169.276,
JS_0036,4m_los,True,79.007,True,90.133,True,169.152,
JS_0037,4m_los,True,79.538,True,134.778,True,214.33,
JS_0038,4m_los,True,79.178,True,90.356,True,169.548,
JS_0039,4m_los,True,79.072,True,91.098,True,170.186,
JS_0040,4m_los,True,123.072,True,90.407,True,213.495,
JS_0041,4m_los,True,79.085,True,91.161,True,170.259,
JS_0042,4m_los,True,78.242,True,90.16,True,168.414,
JS_0043,4m_los,True,79.248,True,90.088,True,169.348,
JS_0044,4m_los,True,79.017,True,90.241,True,169.272,
JS_0045,4m_los,True,79.403,True,89.811,True,169.227,
JS_0046,4m_los,True,79.426,True,89.911,True,169.35,
JS_0047,4m_los,True,79.038,True,90.209,True,169.262,
JS_0048,4m_los,True,79.515,True,90.009,True,169.539,
JS_0049,4m_los,True,80.041,True,89.193,True,169.247,
JS_0050,4m_los,True,79.502,True,90.921,True,170.435,
JS_0051,4m_los,True,79.525,True,90.087,True,169.625,
JS_0052,4m_los,True,78.362,True,90.201,True,168.576,
JS_0053,4m_los,True,78.829,True,90.324,True,169.165,
JS_0054,4m_los,True,80.163,True,89.491,True,169.668,
JS_0055,4m_los,True,78.832,True,90.059,True,168.907,
JS_0056,4m_los,True,79.108,True,90.12,True,169.244,
JS_0057,4m_los,True,79.535,True,90.082,True,169.629,
JS_0058,4m_los,True,79.507,True,89.877,True,169.398,
JS_0059,4m_los,True,79.235,True,90.15,True,169.399,
JS_0060,4m_los,True,79.829,True,89.809,True,169.65,
JS_0061,4m_los,True,79.472,True,91.023,True,170.508,
JS_0062,4m_los,True,78.124,True,90.465,True,168.601,
JS_0063,4m_los,True,79.112,True,90.09,True,169.215,
JS_0064,4m_los,True,124.432,True,89.994,True,214.439,
JS_0065,4m_los,True,79.08,True,90.255,True,169.349,
JS_0066,4m_los,True,78.845,True,90.179,True,169.04,
JS_0067,4m_los,True,79.332,True,91.034,True,170.38,
JS_0068,4m_los,True,78.393,True,90.045,True,168.451,
JS_0069,4m_los,True,79.286,True,89.96,True,169.259,
JS_0070,4m_los,True,79.416,True,91.304,True,170.737,
JS_0071,4m_los,True,78.119,True,89.899,True,168.031,
JS_0072,4m_los,True,79.316,True,135.112,True,214.442,
JS_0073,4m_los,True,79.16,True,89.935,True,169.108,
JS_0074,4m_los,True,79.184,True,90.368,True,169.565,
JS_0075,4m_los,True,79.012,True,90.104,True,169.129,
JS_0076,4m_los,True,78.644,True,90.272,True,168.933,
JS_0077,4m_los,True,79.993,True,89.165,True,169.174,
JS_0078,4m_los,True,79.559,True,90.136,True,169.711,
JS_0079,4m_los,True,124.028,True,90.171,True,214.213,
JS_0080,4m_los,True,78.924,True,90.373,True,169.312,
JS_0081,4m_los,True,124.105,True,89.802,True,213.922,
JS_0082,4m_los,True,79.456,True,90.081,True,169.552,
JS_0083,4m_los,True,78.954,True,135.316,True,214.285,
JS_0084,4m_los,True,79.007,True,91.101,True,170.123,
JS_0085,4m_los,True,78.16,True,90.003,True,168.178,
JS_0086,4m_los,True,79.382,True,89.932,True,169.326,
JS_0087,4m_los,True,79.198,True,90.179,True,169.393,
JS_0088,4m_los,True,79.164,True,89.995,True,169.174,
JS_0089,4m_los,True,79.473,True,90.068,True,169.554,
JS_0090,4m_los,True,79.082,True,90.147,True,169.245,
JS_0091,4m_los,True,79.338,True,90.033,True,169.387,
JS_0092,4m_los,True,79.472,True,89.877,True,169.363,
JS_0093,4m_los,True,80.282,True,89.044,True,169.342,
JS_0094,4m_los,True,79.378,True,90.91,True,170.302,
JS_0095,4m_los,True,78.288,True,91.116,True,169.417,
JS_0096,4m_los,True,78.44,True,89.979,True,168.434,
JS_0097,4m_los,True,79.64,True,90.426,True,170.08,
JS_0098,4m_los,True,79.185,True,90.197,True,169.402,
JS_0099,4m_los,True,79.07,True,91.235,True,170.317,
JS_0100,4m_los,True,78.148,True,89.766,True,167.929,
JS_0101,4m_los,True,79.136,True,90.062,True,169.211,
JS_0102,4m_los,True,79.043,True,90.358,True,169.416,
JS_0103,4m_los,True,79.23,True,89.811,True,169.055,
JS_0104,4m_los,True,79.18,True,90.409,True,169.603,
JS_0105,4m_los,True,79.213,True,90.123,True,169.351,
JS_0106,4m_los,True,79.636,True,89.337,True,168.987,
JS_0107,4m_los,True,79.21,True,90.098,True,169.324,
JS_0108,4m_los,True,79.3,True,90.112,True,169.427,
JS_0109,4m_los,True,78.896,True,91.304,True,170.214,
JS_0110,4m_los,True,78.085,True,90.99,True,169.091,
JS_0111,4m_los,True,78.441,True,136.243,True,214.699,
JS_0112,4m_los,True,78.21,True,89.699,True,167.925,
JS_0113,4m_los,True,79.214,True,90.337,True,169.565,
JS_0114,4m_los,True,79.835,True,89.915,True,169.765,
JS_0115,4m_los,True,78.296,True,90.489,True,168.801,
JS_0116,4m_los,True,79.178,True,89.978,True,169.171,
JS_0117,4m_los,True,79.221,True,90.395,True,169.629,
JS_0118,4m_los,True,78.905,True,90.063,True,168.983,
JS_0119,4m_los,True,79.263,True,90.005,True,169.281,
JS_0120,4m_los,True,79.324,True,91.03,True,170.368,
JS_0121,4m_los,True,78.152,True,91.287,True,169.454,
JS_0122,4m_los,True,78.514,True,89.769,True,168.297,
JS_0123,4m_los,True,79.055,True,90.008,True,169.073,
JS_0124,4m_los,True,79.285,True,90.278,True,169.577,
JS_0125,4m_los,True,79.033,True,90.02,True,169.071,
JS_0126,4m_los,True,79.397,True,90.126,True,169.539,
JS_0127,4m_los,True,79.241,True,90.873,True,170.129,
JS_0128,4m_los,True,78.269,True,90.911,True,169.192,
JS_0129,4m_los,True,78.288,True,89.993,True,168.294,
JS_0130,4m_los,True,79.205,True,91.245,True,170.463,
JS_0131,4m_los,True,78.054,True,92.178,True,170.247,
JS_0132,4m_los,True,77.41,True,90.905,True,168.328,
JS_0133,4m_los,True,78.189,True,89.976,True,168.178,
JS_0134,4m_los,True,79.556,True,89.957,True,169.526,
JS_0135,4m_los,True,79.41,True,90.094,True,169.518,
JS_0136,4m_los,True,79.123,True,90.191,True,169.327,
JS_0137,4m_los,True,79.567,True,90.036,True,169.616,
JS_0138,4m_los,True,79.108,True,91.048,True,170.169,
