trial_id,endpoint,action,t_sent_ns,write_ms,ack_ms,total_ms,success,failure_reason
conc_laptop_0066,laptop,STAND_UP,19813510414189,122.99,91.2,214.2,True,
conc_laptop_0067,laptop,STAND_UP,19814726046734,77.48,135.08,212.58,True,
conc_laptop_0068,laptop,STAND_UP,19815939329413,80.21,90.05,170.28,True,
conc_laptop_0069,laptop,STAND_UP,19817111284008,122.25,91.0,213.27,True,
conc_laptop_0070,laptop,STAND_UP,19818326048860,77.43,136.1,213.55,True,
conc_laptop_0071,laptop,STAND_UP,19819541068105,77.31,91.17,168.49,True,
conc_laptop_0072,laptop,STAND_UP,19820711159611,122.35,90.95,213.31,True,
conc_laptop_0073,laptop,STAND_UP,19821925438990,78.84,136.17,215.03,True,
conc_laptop_0074,laptop,STAND_UP,19823141515308,77.16,90.87,168.05,True,
conc_laptop_0075,laptop,STAND_UP,19824310626241,122.67,92.14,214.82,True,
conc_laptop_0076,laptop,STAND_UP,19825527035266,77.47,135.02,212.51,True,
conc_laptop_0077,laptop,STAND_UP,19826740343470,78.14,91.98,170.14,True,
conc_laptop_0078,laptop,STAND_UP,19827911381905,123.06,90.09,213.18,True,
conc_laptop_0079,laptop,STAND_UP,19829125684036,77.65,136.13,213.8,True,
conc_laptop_0080,laptop,STAND_UP,19830340431479,77.8,91.14,168.96,True,
conc_laptop_0081,laptop,STAND_UP,19831510482247,123.77,90.08,213.87,True,
conc_laptop_0082,laptop,STAND_UP,19832725718684,77.92,135.85,213.81,True,
conc_laptop_0083,laptop,STAND_UP,19833941321997,77.94,90.21,168.16,True,
conc_laptop_0084,laptop,STAND_UP,19835110411601,124.0,89.99,214.01,True,
conc_laptop_0085,laptop,STAND_UP,19836325955914,78.4,135.08,213.49,True,
conc_laptop_0086,laptop,STAND_UP,19837540423880,77.82,91.42,169.26,True,
conc_laptop_0087,laptop,STAND_UP,19838710492033,122.86,92.17,215.05,True,
conc_laptop_0088,laptop,STAND_UP,19839927017646,77.43,136.04,213.49,True,
conc_laptop_0089,laptop,STAND_UP,19841141399012,77.99,90.0,168.01,True,
conc_laptop_0090,laptop,STAND_UP,19842310433612,122.86,91.17,214.04,True,
conc_laptop_0091,laptop,STAND_UP,19843526062224,77.47,137.11,214.6,True,
conc_laptop_0092,laptop,STAND_UP,19844741351155,78.0,91.22,169.24,True,
conc_laptop_0093,laptop,STAND_UP,19845911480224,121.76,91.27,213.06,True,
conc_laptop_0094,laptop,STAND_UP,19847126101184,77.45,135.95,213.42,True,
conc_laptop_0095,laptop,STAND_UP,19848340401913,77.88,92.03,169.93,True,
conc_laptop_0096,laptop,STAND_UP,19849511773190,122.64,90.18,212.84,True,
conc_laptop_0097,laptop,STAND_UP,19850725657321,77.82,136.1,213.94,True,
conc_laptop_0098,laptop,STAND_UP,19851940641611,78.56,91.62,170.21,True,
conc_laptop_0099,laptop,STAND_UP,19853112428790,121.04,91.31,212.36,True,
conc_laptop_0100,laptop,STAND_UP,19854326050665,77.28,136.05,213.35,True,
conc_replay_001,laptop,REPLAY_TEST,,,,,True,
conc_replay_001_replay,laptop,REPLAY_REJECT_TEST,,,,,False,expected rejection — server counter check
