trial_id,condition,scan_success,scan_ms,connect_success,connect_ms,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_stage,failure_reason
J_0001,1m_los,True,508.553,True,4651.778,True,303.158,True,89.064,True,5557.521,,
J_0002,1m_los,True,362.531,True,4623.165,True,303.633,True,90.55,True,5384.211,,
J_0003,1m_los,True,1446.584,True,3359.536,True,258.63,True,90.096,True,5159.385,,
J_0004,1m_los,True,1243.842,True,2617.138,True,303.589,True,89.884,True,4258.78,,
J_0005,1m_los,True,563.59,True,2622.156,True,259.057,True,89.831,True,3538.587,,
J_0006,1m_los,True,375.715,True,2630.144,True,304.0,True,90.08,True,3403.77,,
J_0007,1m_los,True,690.196,True,4612.373,True,301.892,True,89.997,True,5699.639,,
J_0008,1m_los,True,49.389,True,5071.437,True,303.451,True,89.959,True,5518.668,,
J_0009,1m_los,True,840.963,True,2614.347,True,303.458,True,90.142,True,3853.531,,
J_0010,1m_los,True,922.724,True,4647.44,True,303.169,True,90.302,True,5968.578,,
J_0011,1m_los,True,979.977,True,3377.56,True,525.246,True,180.083,True,5068.244,,
J_0012,1m_los,True,47.2,True,2688.219,True,257.439,True,90.246,True,3087.819,,
J_0013,1m_los,True,1158.063,True,2613.34,True,257.42,True,90.119,True,4123.253,,
J_0014,1m_los,True,1203.591,True,3377.523,True,257.959,True,89.932,True,4933.044,,
J_0015,1m_los,True,267.09,True,4674.34,True,257.385,True,90.089,True,5293.037,,
J_0016,1m_los,True,56.072,True,2634.009,True,303.979,True,90.669,True,3089.214,,
J_0017,1m_los,True,374.625,True,2674.929,True,258.207,True,89.023,True,3401.691,,
J_0018,1m_los,True,1483.388,True,4718.932,True,257.766,True,89.795,True,6554.253,,
J_0019,1m_los,True,52.67,True,2097.903,True,262.181,True,87.155,True,2504.58,,
J_0020,1m_los,True,65.416,True,6900.833,True,257.524,True,91.259,True,7319.913,,
J_0021,1m_los,True,671.684,True,3369.169,True,257.886,True,89.98,True,4393.228,,
J_0022,1m_los,True,736.408,True,3349.926,True,303.378,True,88.945,True,4483.433,,
J_0023,1m_los,True,785.46,True,3346.488,True,301.514,True,90.371,True,4529.146,,
J_0024,1m_los,True,883.435,True,3384.859,True,257.272,True,136.188,True,4665.684,,
J_0025,1m_los,True,934.799,True,2613.168,True,301.146,True,90.117,True,3943.176,,
J_0026,1m_los,True,1020.242,True,2571.213,True,258.38,True,90.09,True,3944.377,,
J_0027,1m_los,True,1777.965,True,6673.894,True,258.452,True,90.197,True,8804.078,,
J_0028,1m_los,True,870.152,True,2631.543,True,303.435,True,90.393,True,3900.02,,
J_0029,1m_los,True,935.663,True,3870.698,True,258.417,True,90.247,True,5158.961,,
J_0030,1m_los,True,1266.228,True,3404.732,True,304.039,True,90.067,True,5068.786,,
J_0031,1m_los,True,339.192,True,2622.603,True,257.565,True,135.352,True,3359.307,,
J_0032,1m_los,True,60.883,True,1955.876,True,257.743,True,90.13,True,2368.984,,
J_0033,1m_los,True,69.416,True,2080.416,True,350.006,True,90.163,True,2593.753,,
J_0034,1m_los,True,48.625,True,2778.161,True,303.082,True,90.138,True,3223.953,,
J_0035,1m_los,True,572.459,True,3378.806,True,303.452,True,90.273,True,4349.483,,
J_0036,1m_los,True,1362.903,True,2632.987,True,303.906,True,134.662,True,4439.002,,
J_0037,1m_los,True,680.269,True,2642.818,True,305.132,True,87.251,True,3719.417,,
J_0038,1m_los,True,733.867,True,2633.016,True,301.675,True,89.97,True,3764.479,,
J_0039,1m_los,True,2854.682,True,3346.667,True,302.996,True,90.072,True,6599.313,,
J_0040,1m_los,True,880.798,True,2620.664,True,303.354,True,89.751,True,3898.906,,
J_0041,1m_los,True,975.075,True,3380.716,True,303.432,True,90.436,True,4754.193,,
J_0042,1m_los,True,51.651,True,4620.102,True,258.129,True,89.306,True,5023.886,,
J_0043,1m_los,True,1120.271,True,3371.357,True,302.136,True,90.095,True,4889.127,,
J_0044,1m_los,True,180.617,True,3365.701,True,258.451,True,90.099,True,3898.968,,
J_0045,1m_los,True,237.468,True,4659.065,True,303.251,True,90.134,True,5293.734,,
J_0046,1m_los,True,66.587,True,2580.713,True,302.743,True,89.975,True,3044.825,,
J_0047,1m_los,True,1082.904,True,3904.106,True,302.636,True,89.122,True,5383.899,,
J_0048,1m_los,True,52.158,True,2728.861,True,257.773,True,90.096,True,3133.355,,
J_0049,1m_los,True,501.49,True,2683.925,True,260.942,True,88.641,True,3538.766,,
J_0050,1m_los,True,271.751,True,4622.882,True,260.177,True,89.49,True,5248.865,,
J_0051,1m_los,True,1339.207,True,3916.799,True,258.245,True,91.126,True,5609.691,,
J_0052,1m_los,True,54.55,True,3042.223,True,257.432,True,88.66,True,3447.963,,
J_0053,1m_los,True,770.357,True,3362.125,True,259.328,True,90.87,True,4486.673,,
J_0054,1m_los,True,816.471,True,3358.595,True,305.491,True,90.252,True,4574.618,,
J_0055,1m_los,True,869.816,True,2633.52,True,301.569,True,89.937,True,3900.064,,
J_0056,1m_los,True,927.082,True,2619.709,True,303.302,True,90.23,True,3944.356,,
J_0057,1m_los,True,1712.999,True,3903.988,True,303.547,True,89.072,True,6013.442,,
J_0058,1m_los,True,1071.644,True,5400.689,True,256.628,True,91.013,True,6824.575,,
