trial_id,condition,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_reason
JS_0001,1m_los,True,83.779,True,89.911,True,173.729,
JS_0002,1m_los,True,79.409,True,90.02,True,169.445,
JS_0003,1m_los,True,80.876,True,88.451,True,169.343,
JS_0004,1m_los,True,79.113,True,90.399,True,169.526,
JS_0005,1m_los,True,79.007,True,90.133,True,169.154,
JS_0006,1m_los,True,78.16,True,91.53,True,169.707,
JS_0007,1m_los,True,79.19,True,90.023,True,169.229,
JS_0008,1m_los,True,79.089,True,89.925,True,169.03,
JS_0009,1m_los,True,80.175,True,89.112,True,169.303,
JS_0010,1m_los,True,78.762,True,91.273,True,170.052,
JS_0011,1m_los,True,78.14,True,90.102,True,168.258,
JS_0012,1m_los,True,79.144,True,89.8,True,168.961,
JS_0013,1m_los,True,79.542,True,90.063,True,169.62,
JS_0014,1m_los,True,79.049,True,90.124,True,169.189,
JS_0015,1m_los,True,79.266,True,89.989,True,169.272,
JS_0016,1m_los,True,78.43,True,90.873,True,169.316,
JS_0017,1m_los,True,79.011,True,90.261,True,169.285,
JS_0018,1m_los,True,78.07,True,91.126,True,169.21,
JS_0019,1m_los,True,79.297,True,90.196,True,169.506,
JS_0020,1m_los,True,77.842,True,91.431,True,169.286,
JS_0021,1m_los,True,79.434,True,89.819,True,169.266,
JS_0022,1m_los,True,79.424,True,134.965,True,214.403,
JS_0023,1m_los,True,79.262,True,90.076,True,169.351,
JS_0024,1m_los,True,79.265,True,90.066,True,169.344,
JS_0025,1m_los,True,79.511,True,89.975,True,169.498,
JS_0026,1m_los,True,79.176,True,89.971,True,169.159,
JS_0027,1m_los,True,79.38,True,134.938,True,214.332,
JS_0028,1m_los,True,79.572,True,89.826,True,169.411,
JS_0029,1m_los,True,79.466,True,90.146,True,169.626,
JS_0030,1m_los,True,78.166,True,92.055,True,170.235,
JS_0031,1m_los,True,77.919,True,90.094,True,168.029,
JS_0032,1m_los,True,79.196,True,90.069,True,169.28,
JS_0033,1m_los,True,79.17,True,134.927,True,214.112,
JS_0034,1m_los,True,78.093,True,91.279,True,169.388,
JS_0035,1m_los,True,79.215,True,90.844,True,170.075,
JS_0036,1m_los,True,77.969,True,90.42,True,168.405,
JS_0037,1m_los,True,78.882,True,90.233,True,169.132,
JS_0038,1m_los,True,79.127,True,89.873,True,169.016,
JS_0039,1m_los,True,79.008,True,92.371,True,171.394,
JS_0040,1m_los,True,77.291,True,89.936,True,167.24,
JS_0041,1m_los,True,79.21,True,90.226,True,169.451,
JS_0042,1m_los,True,79.257,True,90.148,True,169.422,
JS_0043,1m_los,True,77.777,True,91.144,True,168.937,
JS_0044,1m_los,True,79.225,True,90.291,True,169.534,
JS_0045,1m_los,True,79.353,True,89.85,True,169.22,
JS_0046,1m_los,True,79.277,True,89.815,True,169.107,
JS_0047,1m_los,True,79.188,True,90.039,True,169.24,
JS_0048,1m_los,True,79.379,True,90.161,True,169.552,
JS_0049,1m_los,True,79.033,True,90.363,True,169.41,
JS_0050,1m_los,True,79.091,True,89.959,True,169.062,
JS_0051,1m_los,True,78.516,True,90.876,True,169.406,
JS_0052,1m_los,True,79.249,True,90.133,True,169.396,
JS_0053,1m_los,True,79.205,True,90.041,True,169.258,
JS_0054,1m_los,True,79.17,True,90.172,True,169.359,
JS_0055,1m_los,True,79.153,True,90.02,True,169.187,
JS_0056,1m_los,True,79.197,True,90.45,True,169.659,
JS_0057,1m_los,True,79.085,True,90.189,True,169.287,
JS_0058,1m_los,True,79.239,True,89.968,True,169.22,
JS_0059,1m_los,True,80.378,True,88.881,True,169.272,
JS_0060,1m_los,True,79.267,True,89.892,True,169.172,
JS_0061,1m_los,True,79.547,True,89.972,True,169.532,
JS_0062,1m_los,True,78.951,True,90.309,True,169.274,
JS_0063,1m_los,True,79.036,True,90.3,True,169.349,
JS_0064,1m_los,True,80.119,True,89.105,True,169.237,
JS_0065,1m_los,True,79.203,True,89.934,True,169.151,
JS_0066,1m_los,True,79.283,True,89.968,True,169.265,
JS_0067,1m_los,True,79.312,True,90.304,True,169.629,
JS_0068,1m_los,True,78.155,True,91.139,True,169.307,
JS_0069,1m_los,True,79.101,True,90.225,True,169.34,
JS_0070,1m_los,True,79.358,True,90.18,True,169.551,
JS_0071,1m_los,True,77.81,True,91.661,True,169.484,
JS_0072,1m_los,True,79.157,True,90.288,True,169.457,
JS_0073,1m_los,True,79.018,True,90.062,True,169.093,
JS_0074,1m_los,True,78.445,True,90.991,True,169.448,
JS_0075,1m_los,True,79.288,True,89.729,True,169.031,
JS_0076,1m_los,True,79.301,True,90.196,True,169.51,
JS_0077,1m_los,True,79.118,True,90.261,True,169.394,
JS_0078,1m_los,True,80.09,True,88.955,True,169.062,
JS_0079,1m_los,True,79.249,True,89.904,True,169.168,
JS_0080,1m_los,True,79.158,True,90.005,True,169.179,
JS_0081,1m_los,True,79.09,True,89.828,True,168.932,
JS_0082,1m_los,True,79.103,True,90.295,True,169.414,
JS_0083,1m_los,True,79.416,True,89.968,True,169.398,
JS_0084,1m_los,True,79.493,True,90.163,True,169.67,
JS_0085,1m_los,True,79.072,True,90.07,True,169.155,
JS_0086,1m_los,True,79.334,True,90.147,True,169.494,
JS_0087,1m_los,True,78.994,True,90.005,True,169.012,
JS_0088,1m_los,True,79.466,True,90.062,True,169.542,
JS_0089,1m_los,True,79.218,True,89.94,True,169.171,
JS_0090,1m_los,True,79.585,True,89.902,True,169.503,
JS_0091,1m_los,True,79.142,True,90.036,True,169.192,
JS_0092,1m_los,True,79.325,True,89.901,True,169.242,
JS_0093,1m_los,True,78.976,True,90.123,True,169.115,
JS_0094,1m_los,True,79.043,True,90.048,True,169.107,
JS_0095,1m_los,True,79.292,True,89.807,True,169.116,
