trial_id,esp_ack_received,esp_cc_send_ms,esp_ble_write_ms,esp_rtt_ms,rpi_rx_ack_ms,delta_esp_rtt_minus_rpi_ack_ms
123,1,8.635,1.618,143.012,37.84,105.172
124,1,8.656,1.48,157.151,36.21,120.941
125,1,8.642,1.611,144.03,38.52,105.50999999999999
126,1,70.642,1.625,195.019,34.8,160.219
127,1,8.636,1.617,146.018,41.11,104.908
128,1,8.645,1.618,144.151,35.48,108.67100000000002
129,1,8.636,1.618,146.027,37.25,108.77699999999999
130,1,8.656,1.615,143.011,34.5,108.511
131,1,8.653,1.484,157.031,37.37,119.661
132,1,8.686,1.609,144.028,34.75,109.27799999999999
133,1,8.652,1.622,146.027,43.75,102.27699999999999
134,1,8.637,1.613,194.019,34.59,159.429
135,1,8.634,1.622,146.02,37.08,108.94000000000001
136,1,8.654,1.613,144.154,35.86,108.294
137,1,8.642,1.619,144.007,33.96,110.047
138,1,8.658,1.473,157.029,39.67,117.359
139,1,8.653,1.61,145.031,35.04,109.99100000000001
140,1,8.651,1.614,144.019,43.09,100.929
141,1,8.638,1.615,196.02,36.15,159.87
142,1,8.645,1.62,145.025,35.1,109.92500000000001
143,1,8.635,1.623,145.025,34.4,110.625
144,1,8.656,1.62,143.138,43.38,99.75800000000001
145,1,8.638,1.482,158.03,34.02,124.00999999999999
146,1,70.64,1.615,194.015,40.69,153.325
147,1,8.718,1.612,145.018,35.05,109.968
148,1,8.645,1.616,144.131,33.38,110.751
149,1,8.636,1.619,146.026,34.38,111.64600000000002
150,1,8.657,1.619,145.019,72.24,72.77900000000001
151,1,8.669,1.618,145.031,60.32,84.71100000000001
152,1,8.678,1.616,145.028,64.35,80.678
153,1,8.652,1.615,145.025,60.18,84.845
154,1,8.637,1.613,145.019,61.11,83.909
155,1,8.638,1.61,145.021,59.08,85.94099999999999
156,1,8.654,1.615,145.154,64.95,80.204
157,1,8.637,1.613,145.027,59.04,85.987
158,1,8.658,1.615,145.025,67.8,77.22500000000001
159,1,8.653,1.618,145.03,58.66,86.37
160,1,8.651,1.62,145.015,60.26,84.755
161,1,8.637,1.618,145.018,56.96,88.05799999999999
162,1,8.645,1.617,145.024,62.3,82.724
163,1,8.636,1.614,195.024,58.4,136.624
164,1,8.656,1.619,145.156,66.81,78.346
165,1,8.642,1.617,145.031,60.81,84.221
166,1,70.63,1.625,195.019,65.01,130.00900000000001
167,1,8.665,1.62,145.018,62.33,82.688
168,1,8.645,1.622,145.152,59.52,85.63199999999998
169,1,8.636,1.619,145.027,62.88,82.14699999999999
170,1,8.656,1.619,145.019,62.22,82.799
171,1,8.653,1.618,145.031,59.5,85.531
172,1,8.69,1.619,145.029,64.39,80.639
173,1,8.652,1.619,145.026,64.06,80.96600000000001
174,1,8.637,1.618,145.025,64.23,80.795
175,1,8.638,1.617,145.021,60.65,84.37099999999998
176,1,8.647,1.62,295.155,213.76,81.39499999999998
177,1,8.642,1.617,295.027,209.84,85.18699999999998
178,1,8.658,1.618,295.024,212.48,82.54400000000001
179,1,8.653,1.616,295.031,215.01,80.02100000000002
180,1,8.651,1.616,145.017,71.47,73.547
181,1,8.637,1.624,345.019,276.57,68.44900000000001
182,1,8.644,1.623,145.024,35.97,109.054
183,1,8.884,1.623,145.025,34.15,110.875
184,1,8.656,1.619,145.151,36.64,108.51100000000001
185,1,8.642,1.619,145.03,37.14,107.89
186,1,70.632,1.626,195.019,35.87,159.149
187,1,8.637,1.616,145.018,34.19,110.828
188,1,8.645,1.622,145.152,35.23,109.922
189,1,8.636,1.622,145.027,39.28,105.74699999999999
190,1,8.657,1.621,145.019,33.91,111.10900000000001
191,1,8.658,1.623,145.031,39.83,105.20100000000001
192,1,8.69,1.622,195.027,33.67,161.35699999999997
