trial_id,condition,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_reason
JS_0001,7m_wall,True,83.338,True,90.033,True,173.385,
JS_0002,7m_wall,True,80.046,True,134.447,True,214.508,
JS_0003,7m_wall,True,78.959,True,90.213,True,169.187,
JS_0004,7m_wall,True,79.001,True,89.866,True,168.879,
JS_0005,7m_wall,True,79.021,True,89.91,True,168.946,
JS_0006,7m_wall,True,79.282,True,89.904,True,169.202,
JS_0007,7m_wall,True,79.16,True,90.199,True,169.373,
JS_0008,7m_wall,True,78.612,True,91.403,True,170.028,
JS_0009,7m_wall,True,78.228,True,90.35,True,168.59,
JS_0010,7m_wall,True,80.098,True,88.94,True,169.053,
JS_0011,7m_wall,True,79.467,True,135.049,True,214.529,
JS_0012,7m_wall,True,79.206,True,89.978,True,169.198,
JS_0013,7m_wall,True,124.408,True,90.25,True,214.673,
JS_0014,7m_wall,True,259.433,True,91.037,True,350.485,
JS_0015,7m_wall,True,78.223,True,90.127,True,168.364,
JS_0016,7m_wall,True,79.149,True,135.002,True,214.166,
JS_0017,7m_wall,True,79.556,True,90.022,True,169.592,
JS_0018,7m_wall,True,79.344,True,134.937,True,214.294,
JS_0019,7m_wall,True,78.916,True,90.474,True,169.403,
JS_0020,7m_wall,True,78.562,True,90.466,True,169.046,
JS_0021,7m_wall,True,79.425,True,89.938,True,169.376,
JS_0022,7m_wall,True,79.258,True,134.789,True,214.06,
JS_0023,7m_wall,True,79.678,True,89.962,True,169.653,
JS_0024,7m_wall,True,79.123,True,135.055,True,214.191,
JS_0025,7m_wall,True,79.305,True,90.007,True,169.325,
JS_0026,7m_wall,True,79.27,True,90.024,True,169.306,
JS_0027,7m_wall,True,79.294,True,90.18,True,169.488,
JS_0028,7m_wall,True,78.733,True,180.281,True,259.03,
JS_0029,7m_wall,True,124.253,True,90.097,True,214.366,
JS_0030,7m_wall,True,124.018,True,135.211,True,259.245,
JS_0031,7m_wall,True,79.301,True,134.781,True,214.098,
JS_0032,7m_wall,True,79.336,True,90.304,True,169.655,
JS_0033,7m_wall,True,79.12,True,90.043,True,169.176,
JS_0034,7m_wall,True,79.273,True,90.156,True,169.443,
JS_0035,7m_wall,True,79.363,True,91.075,True,170.449,
JS_0036,7m_wall,True,78.073,True,134.896,True,212.983,
JS_0037,7m_wall,True,124.379,True,89.972,True,214.367,
JS_0038,7m_wall,True,124.196,True,135.074,True,259.286,
JS_0039,7m_wall,True,79.225,True,90.977,True,170.215,
JS_0040,7m_wall,True,78.395,True,90.176,True,168.584,
JS_0041,7m_wall,True,79.305,True,90.011,True,169.329,
JS_0042,7m_wall,True,79.469,True,90.066,True,169.547,
JS_0043,7m_wall,True,79.544,True,91.046,True,170.604,
JS_0044,7m_wall,True,78.259,True,89.689,True,167.96,
