trial_id,condition,scan_success,scan_ms,connect_success,connect_ms,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_stage,failure_reason
J_0068,0.5m_los,True,1295.453,True,3916.115,True,303.641,True,90.045,True,5609.147,,
J_0069,0.5m_los,True,52.346,True,2187.813,True,259.712,True,90.047,True,2593.872,,
J_0070,0.5m_los,True,79.581,True,4231.099,True,303.525,True,90.175,True,4709.042,,
J_0071,0.5m_los,True,58.619,True,2274.802,True,255.885,True,89.966,True,2684.662,,
J_0072,0.5m_los,True,57.63,True,2363.983,True,257.552,True,90.068,True,2773.711,,
J_0073,0.5m_los,True,1560.716,True,2614.626,True,259.496,True,89.898,True,4528.407,,
J_0074,0.5m_los,True,879.923,True,4645.764,True,258.708,True,90.22,True,5878.924,,
J_0075,0.5m_los,True,970.456,True,3341.078,True,257.623,True,90.151,True,4663.917,,
J_0076,0.5m_los,True,1027.357,True,4633.011,True,257.997,True,90.221,True,6013.32,,
J_0077,0.5m_los,True,1877.407,True,2615.048,True,257.968,True,90.411,True,4844.842,,
J_0078,0.5m_los,True,179.709,True,3366.586,True,258.379,True,89.933,True,3899.091,,
J_0079,0.5m_los,True,235.161,True,2634.931,True,259.629,True,89.759,True,3223.99,,
J_0080,0.5m_los,True,30.025,True,2616.852,True,258.494,True,90.011,True,2999.075,,
J_0081,0.5m_los,True,1086.888,True,4619.788,True,259.14,True,89.98,True,6059.704,,
J_0082,0.5m_los,True,435.909,True,3382.827,True,255.953,True,89.991,True,4169.007,,
J_0083,0.5m_los,True,2509.455,True,3377.183,True,257.033,True,90.234,True,6238.82,,
J_0084,0.5m_los,True,583.426,True,3367.799,True,257.166,True,90.282,True,4303.67,,
J_0085,0.5m_los,True,636.092,True,3360.653,True,302.443,True,90.02,True,4393.482,,
J_0086,0.5m_los,True,771.924,True,4618.945,True,302.592,True,90.43,True,5788.521,,
J_0087,0.5m_los,True,802.932,True,3328.346,True,259.003,True,90.076,True,4484.564,,
J_0088,0.5m_los,True,878.309,True,6673.158,True,302.586,True,90.097,True,7948.246,,
J_0089,0.5m_los,True,973.424,True,3336.873,True,258.17,True,134.843,True,4707.943,,
J_0090,0.5m_los,True,1018.366,True,3337.1,True,303.732,True,134.006,True,4797.12,,
J_0091,0.5m_los,True,88.482,True,2602.35,True,258.891,True,91.217,True,3045.562,,
J_0092,0.5m_los,True,1179.18,True,2637.636,True,257.711,True,90.431,True,4169.213,,
J_0093,0.5m_los,True,1220.203,True,2642.085,True,257.523,True,90.031,True,4213.975,,
J_0094,0.5m_los,True,2021.159,True,5936.545,True,258.229,True,89.939,True,8309.82,,
J_0095,0.5m_los,True,55.423,True,2682.816,True,256.697,True,90.008,True,3089.871,,
