trial_id,condition,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_reason
JS_0106,2m_los,True,79.298,True,89.651,True,168.961,
JS_0107,2m_los,True,79.553,True,90.015,True,169.582,
JS_0108,2m_los,True,79.273,True,90.148,True,169.437,
JS_0109,2m_los,True,79.501,True,89.793,True,169.309,
JS_0110,2m_los,True,80.13,True,89.413,True,169.556,
JS_0111,2m_los,True,79.125,True,90.307,True,169.445,
JS_0112,2m_los,True,79.124,True,90.109,True,169.244,
JS_0113,2m_los,True,79.459,True,90.088,True,169.56,
JS_0114,2m_los,True,79.424,True,89.912,True,169.347,
JS_0115,2m_los,True,79.073,True,90.012,True,169.1,
JS_0116,2m_los,True,79.258,True,90.325,True,169.596,
JS_0117,2m_los,True,79.369,True,89.571,True,168.955,
JS_0118,2m_los,True,79.177,True,91.125,True,170.317,
JS_0119,2m_los,True,123.668,True,90.784,True,214.466,
JS_0120,2m_los,True,78.481,True,90.175,True,168.668,
JS_0121,2m_los,True,79.09,True,90.328,True,169.431,
JS_0122,2m_los,True,79.52,True,90.094,True,169.628,
JS_0123,2m_los,True,79.186,True,89.931,True,169.13,
JS_0124,2m_los,True,79.461,True,90.066,True,169.541,
JS_0125,2m_los,True,79.339,True,89.962,True,169.314,
JS_0126,2m_los,True,79.354,True,90.182,True,169.549,
JS_0127,2m_los,True,79.295,True,89.864,True,169.172,
JS_0128,2m_los,True,79.294,True,90.254,True,169.56,
JS_0129,2m_los,True,78.948,True,90.272,True,169.232,
JS_0130,2m_los,True,79.257,True,90.056,True,169.325,
JS_0131,2m_los,True,80.151,True,89.143,True,169.307,
JS_0132,2m_los,True,79.17,True,90.045,True,169.228,
JS_0133,2m_los,True,79.311,True,90.154,True,169.478,
JS_0134,2m_los,True,79.318,True,89.998,True,169.329,
JS_0135,2m_los,True,80.068,True,89.221,True,169.301,
JS_0136,2m_los,True,79.396,True,90.053,True,169.462,
JS_0137,2m_los,True,79.172,True,90.0,True,169.184,
JS_0138,2m_los,True,79.101,True,90.066,True,169.179,
JS_0139,2m_los,True,79.39,True,90.083,True,169.486,
JS_0140,2m_los,True,79.212,True,89.911,True,169.137,
JS_0141,2m_los,True,79.364,True,89.889,True,169.265,
JS_0142,2m_los,True,79.469,True,89.907,True,169.389,
JS_0143,2m_los,True,79.305,True,90.108,True,169.426,
JS_0144,2m_los,True,79.715,True,89.93,True,169.658,
JS_0145,2m_los,True,79.159,True,89.973,True,169.146,
JS_0146,2m_los,True,79.293,True,90.294,True,169.6,
JS_0147,2m_los,True,79.366,True,89.783,True,169.162,
JS_0148,2m_los,True,79.076,True,90.367,True,169.456,
JS_0149,2m_los,True,79.119,True,90.279,True,169.41,
JS_0150,2m_los,True,79.162,True,90.004,True,169.178,
JS_0151,2m_los,True,79.415,True,90.042,True,169.469,
JS_0152,2m_los,True,79.065,True,90.04,True,169.118,
JS_0153,2m_los,True,79.169,True,90.05,True,169.241,
JS_0154,2m_los,True,79.45,True,90.131,True,169.593,
JS_0155,2m_los,True,79.317,True,89.8,True,169.131,
JS_0156,2m_los,True,79.548,True,89.87,True,169.435,
JS_0157,2m_los,True,79.805,True,89.861,True,169.679,
JS_0158,2m_los,True,78.969,True,90.374,True,169.356,
JS_0159,2m_los,True,78.917,True,90.144,True,169.076,
JS_0160,2m_los,True,79.359,True,90.018,True,169.389,
JS_0161,2m_los,True,79.331,True,90.038,True,169.382,
JS_0162,2m_los,True,78.86,True,90.375,True,169.248,
JS_0163,2m_los,True,79.336,True,89.995,True,169.344,
JS_0164,2m_los,True,79.071,True,90.339,True,169.422,
JS_0165,2m_los,True,78.886,True,89.994,True,168.892,
JS_0166,2m_los,True,79.549,True,90.103,True,169.665,
JS_0167,2m_los,True,78.907,True,91.323,True,170.243,
JS_0168,2m_los,True,78.137,True,90.028,True,168.18,
JS_0169,2m_los,True,79.23,True,90.171,True,169.414,
JS_0170,2m_los,True,79.079,True,90.119,True,169.211,
JS_0171,2m_los,True,79.638,True,89.724,True,169.377,
JS_0172,2m_los,True,78.953,True,90.187,True,169.156,
JS_0173,2m_los,True,79.228,True,89.837,True,169.081,
JS_0174,2m_los,True,79.328,True,90.089,True,169.433,
JS_0175,2m_los,True,79.081,True,89.982,True,169.078,
JS_0176,2m_los,True,79.145,True,91.974,True,171.134,
JS_0177,2m_los,True,77.429,True,90.115,True,167.558,
JS_0178,2m_los,True,79.466,True,89.988,True,169.468,
JS_0179,2m_los,True,79.12,True,89.893,True,169.03,
JS_0180,2m_los,True,79.189,True,89.948,True,169.157,
JS_0181,2m_los,True,79.061,True,90.319,True,169.396,
JS_0182,2m_los,True,79.354,True,90.064,True,169.432,
JS_0183,2m_los,True,79.055,True,90.201,True,169.268,
JS_0184,2m_los,True,79.32,True,89.907,True,169.242,
JS_0185,2m_los,True,79.251,True,91.158,True,170.422,
JS_0186,2m_los,True,78.578,True,89.984,True,168.575,
JS_0187,2m_los,True,79.292,True,90.787,True,170.091,
JS_0188,2m_los,True,78.5,True,89.865,True,168.378,
JS_0189,2m_los,True,79.603,True,89.997,True,169.613,
JS_0190,2m_los,True,79.109,True,90.307,True,169.429,
JS_0191,2m_los,True,79.358,True,90.305,True,169.676,
JS_0192,2m_los,True,79.25,True,89.998,True,169.26,
JS_0193,2m_los,True,79.458,True,89.961,True,169.444,
JS_0194,2m_los,True,78.806,True,90.132,True,168.955,
JS_0195,2m_los,True,79.27,True,90.237,True,169.524,
JS_0196,2m_los,True,79.383,True,89.909,True,169.304,
JS_0197,2m_los,True,79.347,True,90.096,True,169.454,
JS_0198,2m_los,True,80.116,True,89.15,True,169.278,
JS_0199,2m_los,True,123.808,True,90.333,True,214.155,
JS_0200,2m_los,True,80.347,True,89.028,True,169.388,
JS_0201,2m_los,True,79.109,True,90.191,True,169.313,
JS_0202,2m_los,True,124.185,True,90.278,True,214.475,
JS_0203,2m_los,True,80.176,True,89.259,True,169.448,
JS_0204,2m_los,True,79.224,True,90.075,True,169.312,
JS_0205,2m_los,True,79.233,True,90.051,True,169.297,
JS_0206,2m_los,True,79.357,True,89.924,True,169.294,
JS_0207,2m_los,True,79.313,True,90.914,True,170.24,
JS_0208,2m_los,True,78.444,True,90.337,True,168.794,
JS_0209,2m_los,True,78.929,True,90.065,True,169.011,
JS_0210,2m_los,True,124.197,True,90.065,True,214.278,
JS_0211,2m_los,True,80.362,True,88.757,True,169.134,
JS_0212,2m_los,True,79.192,True,90.015,True,169.222,
JS_0213,2m_los,True,79.22,True,90.08,True,169.313,
JS_0214,2m_los,True,78.916,True,90.243,True,169.175,
JS_0215,2m_los,True,79.087,True,90.237,True,169.34,
JS_0216,2m_los,True,78.943,True,90.337,True,169.296,
JS_0217,2m_los,True,79.112,True,89.87,True,168.998,
JS_0218,2m_los,True,79.453,True,90.166,True,169.635,
JS_0219,2m_los,True,79.085,True,91.163,True,170.263,
JS_0220,2m_los,True,78.083,True,89.982,True,168.08,
JS_0221,2m_los,True,79.075,True,90.829,True,169.919,
JS_0222,2m_los,True,78.218,True,90.112,True,168.345,
JS_0223,2m_los,True,79.318,True,90.028,True,169.36,
JS_0224,2m_los,True,79.17,True,90.066,True,169.252,
JS_0225,2m_los,True,79.143,True,90.101,True,169.262,
JS_0226,2m_los,True,79.184,True,90.112,True,169.311,
JS_0227,2m_los,True,78.935,True,91.123,True,170.073,
JS_0228,2m_los,True,78.24,True,89.768,True,168.023,
JS_0229,2m_los,True,79.287,True,90.09,True,169.393,
JS_0230,2m_los,True,79.21,True,90.139,True,169.365,
JS_0231,2m_los,True,79.172,True,89.998,True,169.187,
JS_0232,2m_los,True,79.063,True,89.884,True,168.964,
JS_0233,2m_los,True,79.441,True,90.052,True,169.508,
JS_0234,2m_los,True,79.194,True,90.072,True,169.282,
JS_0235,2m_los,True,79.059,True,90.092,True,169.165,
JS_0236,2m_los,True,79.306,True,90.216,True,169.538,
JS_0237,2m_los,True,79.844,True,89.352,True,169.212,
JS_0238,2m_los,True,79.282,True,90.047,True,169.346,
JS_0239,2m_los,True,79.212,True,90.014,True,169.239,
JS_0240,2m_los,True,80.074,True,89.238,True,169.325,
JS_0241,2m_los,True,79.3,True,90.161,True,169.473,
JS_0242,2m_los,True,79.057,True,92.977,True,172.047,
JS_0243,2m_los,True,76.174,True,90.155,True,166.343,
JS_0244,2m_los,True,79.375,True,90.09,True,169.479,
JS_0245,2m_los,True,79.261,True,90.173,True,169.448,
JS_0246,2m_los,True,80.178,True,88.819,True,169.013,
JS_0247,2m_los,True,79.357,True,90.252,True,169.621,
JS_0248,2m_los,True,79.293,True,89.798,True,169.104,
JS_0249,2m_los,True,79.525,True,89.864,True,169.402,
JS_0250,2m_los,True,79.494,True,89.754,True,169.261,
JS_0251,2m_los,True,79.181,True,90.165,True,169.359,
JS_0252,2m_los,True,80.295,True,88.94,True,169.249,
JS_0253,2m_los,True,79.396,True,90.075,True,169.486,
JS_0254,2m_los,True,79.124,True,89.887,True,169.022,
JS_0255,2m_los,True,79.485,True,89.773,True,169.27,
JS_0256,2m_los,True,79.199,True,90.539,True,169.75,
JS_0257,2m_los,True,79.049,True,90.228,True,169.29,
JS_0258,2m_los,True,78.812,True,90.129,True,168.958,
JS_0259,2m_los,True,79.239,True,89.896,True,169.15,
JS_0260,2m_los,True,79.267,True,90.118,True,169.402,
JS_0261,2m_los,True,79.187,True,90.076,True,169.277,
JS_0262,2m_los,True,79.271,True,90.19,True,169.473,
JS_0263,2m_los,True,79.406,True,89.764,True,169.183,
JS_0264,2m_los,True,79.662,True,90.521,True,170.195,
JS_0265,2m_los,True,78.469,True,90.039,True,168.521,
JS_0266,2m_los,True,79.445,True,90.123,True,169.579,
JS_0267,2m_los,True,78.768,True,90.519,True,169.299,
JS_0268,2m_los,True,79.099,True,89.904,True,169.019,
JS_0269,2m_los,True,78.944,True,90.366,True,169.327,
JS_0270,2m_los,True,78.672,True,90.192,True,168.88,
JS_0271,2m_los,True,79.107,True,90.323,True,169.446,
JS_0272,2m_los,True,79.399,True,90.228,True,169.64,
JS_0273,2m_los,True,79.681,True,89.281,True,168.975,
JS_0274,2m_los,True,79.587,True,91.034,True,170.634,
JS_0275,2m_los,True,78.34,True,89.891,True,168.243,
JS_0276,2m_los,True,79.531,True,89.965,True,169.509,
JS_0277,2m_los,True,79.481,True,89.914,True,169.409,
JS_0278,2m_los,True,79.259,True,90.163,True,169.434,
JS_0279,2m_los,True,78.968,True,90.222,True,169.202,
JS_0280,2m_los,True,79.292,True,90.05,True,169.354,
JS_0281,2m_los,True,79.456,True,90.051,True,169.519,
JS_0282,2m_los,True,79.17,True,90.269,True,169.452,
JS_0283,2m_los,True,79.294,True,90.062,True,169.369,
JS_0284,2m_los,True,123.872,True,90.401,True,214.285,
JS_0285,2m_los,True,78.844,True,90.335,True,169.192,
JS_0286,2m_los,True,79.327,True,90.113,True,169.453,
JS_0287,2m_los,True,79.194,True,90.123,True,169.329,
JS_0288,2m_los,True,80.038,True,89.287,True,169.337,
JS_0289,2m_los,True,79.173,True,90.001,True,169.189,
