trial_id,condition,scan_success,scan_ms,connect_success,connect_ms,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_stage,failure_reason
J_0071,2m_los,True,307.005,True,4634.255,True,303.479,True,89.977,True,5339.453,,
J_0072,2m_los,True,75.681,True,1896.652,True,258.199,True,89.306,True,2324.823,,
J_0073,2m_los,True,173.082,True,2610.838,True,302.872,True,90.1,True,3180.826,,
J_0074,2m_los,True,476.265,True,3340.041,True,258.238,True,90.126,True,4169.472,,
J_0075,2m_los,True,1308.243,True,2644.242,True,301.735,True,90.342,True,4349.39,,
J_0076,2m_los,True,629.876,True,2602.257,True,302.014,True,90.139,True,3629.175,,
J_0077,2m_los,True,75.009,True,2212.625,True,346.93,True,90.144,True,2729.271,,
J_0078,2m_los,True,748.277,True,2619.117,True,256.389,True,90.215,True,3719.194,,
J_0079,2m_los,True,59.247,True,5107.596,True,303.427,True,90.072,True,5564.068,,
J_0080,2m_los,True,862.068,True,2594.373,True,258.45,True,89.928,True,3808.902,,
J_0081,2m_los,True,905.579,True,5384.361,True,304.431,True,90.271,True,6688.891,,
J_0082,2m_los,True,1004.289,True,5465.181,True,304.192,True,90.267,True,6867.766,,
J_0083,2m_los,True,92.227,True,2644.09,True,302.683,True,90.348,True,3133.709,,
J_0084,2m_los,True,1894.072,True,3901.761,True,257.905,True,90.231,True,6148.557,,
J_0085,2m_los,True,1241.416,True,2621.89,True,301.839,True,90.507,True,4259.663,,
J_0086,2m_los,True,1290.196,True,3340.019,True,255.918,True,90.065,True,4980.7,,
J_0087,2m_los,True,1085.287,True,2642.72,True,301.356,True,90.146,True,4124.515,,
J_0088,2m_los,True,1155.842,True,4640.309,True,304.424,True,90.154,True,6194.292,,
J_0089,2m_los,True,505.018,True,3400.696,True,304.824,True,180.187,True,4394.502,,
J_0090,2m_los,True,551.602,True,2635.423,True,303.294,True,90.231,True,3584.726,,
J_0091,2m_los,True,53.3,True,2187.723,True,303.021,True,90.167,True,2639.038,,
J_0092,2m_los,True,63.868,True,2267.986,True,302.362,True,90.303,True,2729.52,,
J_0093,2m_los,True,49.247,True,3001.6,True,304.752,True,90.215,True,3449.593,,
J_0094,2m_los,True,790.422,True,2620.921,True,527.48,True,224.883,True,4168.541,,
J_0095,2m_los,True,1581.512,True,6645.448,True,257.698,True,134.755,True,8624.629,,
J_0096,2m_los,True,922.279,True,2623.922,True,258.14,True,89.915,True,3898.356,,
J_0097,2m_los,True,1719.571,True,2635.899,True,302.852,True,89.918,True,4753.28,,
J_0098,2m_los,True,55.501,True,4615.039,True,304.386,True,89.184,True,5068.084,,
J_0099,2m_los,True,1137.405,True,2633.884,True,302.675,True,90.159,True,4169.099,,
J_0100,2m_los,True,1225.567,True,2636.966,True,303.317,True,89.937,True,4259.726,,
J_0101,2m_los,True,1288.242,True,2619.264,True,302.871,True,90.175,True,4305.664,,
J_0102,2m_los,True,1339.666,True,4637.817,True,257.372,True,90.151,True,6329.676,,
J_0103,2m_los,True,134.83,True,5977.027,True,347.45,True,90.189,True,6554.291,,
J_0104,2m_los,True,67.582,True,2085.816,True,255.237,True,90.199,True,2503.81,,
J_0105,2m_los,True,49.533,True,4844.884,True,304.35,True,90.166,True,5293.481,,
J_0106,2m_los,True,593.309,True,3357.739,True,303.388,True,90.061,True,4348.49,,
J_0107,2m_los,True,689.783,True,2675.621,True,259.265,True,90.175,True,3718.836,,
J_0108,2m_los,True,75.782,True,3019.907,True,303.45,True,90.249,True,3493.215,,
J_0109,2m_los,True,775.128,True,2635.148,True,304.043,True,90.251,True,3808.591,,
J_0110,2m_los,True,862.83,True,2638.116,True,302.518,True,90.137,True,3898.605,,
J_0111,2m_los,True,930.236,True,2616.528,True,257.602,True,90.041,True,3898.52,,
J_0112,2m_los,True,980.355,True,3421.185,True,257.891,True,89.983,True,4754.251,,
J_0113,2m_los,True,53.463,True,8713.529,True,303.402,True,89.923,True,9164.164,,
J_0114,2m_los,True,1178.442,True,2637.668,True,303.699,True,90.23,True,4213.947,,
J_0115,2m_los,True,3253.632,True,2635.659,True,300.44,True,90.239,True,6284.986,,
J_0116,2m_los,True,37.547,True,2698.374,True,302.554,True,134.883,True,3178.664,,
J_0117,2m_los,True,394.211,True,6662.805,True,301.738,True,90.263,True,7453.836,,
J_0118,2m_los,True,67.892,True,1948.899,True,526.832,True,224.971,True,2773.681,,
J_0119,2m_los,True,1268.554,True,2637.173,True,303.538,True,90.326,True,4303.871,,
J_0120,2m_los,True,1324.403,True,2627.824,True,257.551,True,90.105,True,4303.864,,
J_0121,2m_los,True,640.349,True,2679.597,True,259.84,True,90.104,True,3673.964,,
J_0122,2m_los,True,58.408,True,4341.464,True,260.275,True,90.135,True,4753.633,,
J_0123,2m_los,True,1489.683,True,3900.062,True,258.881,True,90.917,True,5744.103,,
J_0124,2m_los,True,837.939,True,2618.417,True,257.462,True,90.057,True,3808.719,,
J_0125,2m_los,True,1637.758,True,2628.433,True,258.979,True,90.239,True,4619.288,,
J_0126,2m_los,True,991.107,True,2645.866,True,303.119,True,89.983,True,4034.442,,
J_0127,2m_los,True,1061.198,True,2620.688,True,301.79,True,90.132,True,4078.956,,
J_0128,2m_los,True,1098.869,True,3347.789,True,257.497,True,90.244,True,4798.792,,
J_0129,2m_los,True,174.461,True,3371.688,True,304.061,True,90.149,True,3944.308,,
J_0130,2m_los,True,222.615,True,3369.416,True,257.549,True,90.117,True,3944.604,,
J_0131,2m_los,True,341.589,True,3297.447,True,254.327,True,90.434,True,3988.569,,
J_0132,2m_los,True,386.077,True,2619.202,True,303.1,True,91.085,True,3404.176,,
J_0133,2m_los,True,144.921,True,2635.109,True,258.775,True,89.902,True,3133.329,,
J_0134,2m_los,True,499.791,True,2596.41,True,302.789,True,90.344,True,3493.562,,
J_0135,2m_los,True,90.276,True,2060.081,True,303.498,True,89.877,True,2548.199,,
J_0136,2m_los,True,67.51,True,2128.31,True,303.528,True,89.816,True,2593.209,,
J_0137,2m_los,True,52.756,True,2997.894,True,257.408,True,90.204,True,3403.347,,
J_0138,2m_los,True,687.177,True,2633.013,True,259.476,True,89.866,True,3673.344,,
J_0139,2m_los,True,55.27,True,2320.315,True,258.213,True,90.045,True,2727.937,,
J_0140,2m_los,True,803.158,True,3373.62,True,301.877,True,89.193,True,4572.647,,
J_0141,2m_los,True,1629.339,True,2635.718,True,305.131,True,90.074,True,4664.048,,
J_0142,2m_los,True,1688.899,True,2577.911,True,257.855,True,89.973,True,4618.696,,
J_0143,2m_los,True,1029.088,True,2609.21,True,302.348,True,90.139,True,4035.124,,
J_0144,2m_los,True,1068.077,True,2614.286,True,257.375,True,90.14,True,4034.678,,
J_0145,2m_los,True,1124.317,True,2603.502,True,255.176,True,90.062,True,4078.821,,
J_0146,2m_los,True,1177.468,True,2639.527,True,257.287,True,89.987,True,4168.437,,
J_0147,2m_los,True,1231.757,True,4653.998,True,302.531,True,90.138,True,6283.449,,
